Date,Negative Score,Neutral Score,Positive Score,Compound Score,count
2019/8/23,0.305,2.513,0.183,-2.9688,3
2019/8/26,0.013,0.949,0.038,0.886,1
2019/8/27,0.132,1.69,0.178,1.703,2
2019/8/30,0.047,0.886,0.067,0.9457,1
2019/9/2,0.056,0.853,0.091,0.9727,1
2019/9/3,0.086,0.831,0.083,-0.3996,1
2019/9/6,0.092,0.747,0.161,0.9571,1
2019/9/9,0.039,0.871,0.09,0.846,1
2019/9/10,0,0.946,0.054,0.9834,1
2019/9/11,0.045,0.895,0.06,0.9276,1
2019/9/12,0.02,0.88,0.1,0.9947,1
2019/9/13,0.065,0.794,0.141,0.9903,1
2019/9/14,0.129,1.615,0.256,1.9912,2
2019/9/15,0.096,0.794,0.11,0.8512,1
2019/9/18,0.042,0.834,0.124,0.9948,1
2019/9/25,0.198,2.625,0.177,-0.7975,3
2019/9/26,0.063,0.844,0.093,0.9835,1
2019/9/27,0.041,0.888,0.071,0.995,1
2019/9/28,0.028,0.865,0.107,0.9852,1
2019/9/29,0.058,0.884,0.058,0.7955,1
2019/9/30,0.053,0.871,0.076,0.959,1
2019/10/2,0.061,0.843,0.096,0.9879,1
2019/10/3,0.238,3.411,0.353,1.9352,4
2019/10/4,0.134,1.68,0.185,-0.0311,2
2019/10/5,0.045,0.865,0.09,0.9985,1
2019/10/8,0.044,0.864,0.092,0.9991,1
2019/10/10,0.009,0.928,0.063,0.9581,1
2019/10/11,0.106,1.714,0.18,1.9545,2
2019/10/13,0.05,0.799,0.151,0.9996,1
2019/10/14,0.076,0.832,0.092,0.9464,1
2019/10/18,0.105,1.718,0.177,1.976,2
2019/10/22,0.064,0.883,0.053,-0.6369,1
2019/10/23,0.026,0.928,0.046,0.7311,1
2019/10/24,0.179,3.431,0.389,3.8699,4
2019/10/25,0.029,0.811,0.16,0.9981,1
2019/10/26,0.05,0.866,0.084,0.9959,1
2019/10/29,0.095,0.767,0.138,0.993,1
2019/11/1,0.075,0.84,0.085,0.8887,1
2019/11/3,0.038,0.873,0.089,0.9989,1
2019/11/5,0.124,0.813,0.063,-0.9949,1
2019/11/6,0.049,0.867,0.084,0.6003,1
2019/11/7,0.089,3.6,0.311,3.9442,4
2019/11/8,0.061,0.848,0.091,0.99,1
2019/11/12,0.003,0.931,0.066,0.9801,1
2019/11/14,0.133,2.634,0.233,2.3519,3
2019/11/18,0.094,2.691,0.214,2.7247,3
2019/11/20,0.032,0.857,0.111,0.968,1
2019/11/22,0.267,4.219,0.515,3.1121,5
2019/11/23,0.073,0.811,0.116,0.8463,1
2019/11/24,0.068,0.781,0.15,0.9981,1
2019/11/25,0.029,0.903,0.069,0.9899,1
2019/11/26,0.038,1.775,0.187,1.9852,2
2019/11/28,0.042,0.919,0.039,-0.1901,1
2019/11/29,0.046,0.852,0.102,0.9954,1
2019/11/30,0.048,0.86,0.091,0.9953,1
2019/12/2,0.104,1.687,0.209,1.9581,2
2019/12/3,0.058,0.87,0.073,0.8882,1
2019/12/5,0.024,1.917,0.059,1.5188,2
2019/12/6,0.082,1.736,0.182,1.9881,2
2019/12/7,0.185,1.657,0.157,-0.9365,2
2019/12/8,0.074,1.732,0.193,1.9545,2
2019/12/9,0.032,0.897,0.071,0.9972,1
2019/12/11,0.012,0.892,0.096,0.997,1
2019/12/15,0.049,0.898,0.053,0.392,1
2019/12/17,0.01,0.926,0.064,0.9839,1
2019/12/19,0.103,1.672,0.224,1.2531,2
2019/12/20,0.056,0.796,0.148,0.9985,1
2019/12/21,0.055,1.808,0.137,1.9662,2
2019/12/23,0.123,3.453,0.424,3.8639,4
2019/12/24,0.155,3.506,0.34,3.1632,4
2019/12/25,0.03,0.896,0.075,0.968,1
2019/12/26,0.03,0.856,0.114,0.9924,1
2019/12/27,0.169,2.487,0.344,0.9809,3
2019/12/29,0.08,0.806,0.114,0.9852,1
2019/12/30,0.112,2.667,0.222,1.7149,3
2019/12/31,0.092,2.625,0.282,2.5779,3
2020/1/1,0.033,0.827,0.14,0.9928,1
2020/1/2,0.172,2.481,0.349,2.864,3
2020/1/3,0.169,2.538,0.293,2.9661,3
2020/1/4,0.078,1.77,0.153,1.5362,2
2020/1/6,0.026,0.86,0.114,0.9994,1
2020/1/7,0.206,3.501,0.293,2.2332,4
2020/1/8,0.216,3.461,0.321,2.0663,4
2020/1/9,0.259,3.357,0.383,2.053,4
2020/1/10,0.033,0.889,0.078,0.992,1
2020/1/11,0.074,1.748,0.178,1.9775,2
2020/1/13,0.206,3.515,0.279,3.0102,4
2020/1/16,0.084,1.648,0.268,1.9919,2
2020/1/17,0.136,1.697,0.168,0.062,2
2020/1/20,0.114,1.706,0.181,1.9502,2
2020/1/21,0.201,2.488,0.31,2.5143,3
2020/1/22,0.116,3.611,0.274,3.483,4
2020/1/23,0.115,1.617,0.267,1.959,2
2020/1/24,0.051,0.828,0.121,0.9971,1
2020/1/26,0.042,0.869,0.089,0.995,1
2020/1/28,0.051,1.755,0.194,1.982,2
2020/1/29,0.169,3.539,0.292,2.2345,4
2020/1/30,0.298,5.115,0.586,3.741,6
2020/1/31,0.203,3.543,0.255,0.0469,4
2020/2/3,0.151,2.641,0.208,0.7715,3
2020/2/4,0.236,3.415,0.35,3.6186,4
2020/2/5,0.319,4.291,0.39,1.0074,5
2020/2/6,0.21,4.227,0.564,4.2226,5
2020/2/7,0.109,2.687,0.204,1.1406,3
2020/2/10,0.059,1.737,0.203,1.9755,2
2020/2/11,0.055,1.772,0.174,1.9802,2
2020/2/12,0.014,0.941,0.046,0.8777,1
2020/2/13,0.072,1.718,0.21,1.9812,2
2020/2/14,0.14,1.676,0.185,0.5318,2
2020/2/15,0.054,0.825,0.121,0.9988,1
2020/2/17,0.094,1.76,0.147,1.9497,2
2020/2/18,0.098,1.643,0.259,1.9892,2
2020/2/19,0.099,0.764,0.137,0.9919,1
2020/2/20,0,0.865,0.135,0.9946,1
2020/2/21,0.024,0.898,0.078,0.9945,1
2020/2/23,0.058,0.856,0.086,0.9773,1
2020/2/25,0.119,0.823,0.058,-0.9979,1
2020/2/26,0.13,1.678,0.193,1.6951,2
2020/2/28,0.239,2.591,0.169,-0.8418,3
2020/3/1,0.019,0.917,0.065,0.9942,1
2020/3/2,0.074,0.839,0.088,0.515,1
2020/3/3,0.109,2.686,0.205,2.2012,3
2020/3/4,0.019,0.934,0.048,0.9555,1
2020/3/6,0.107,2.564,0.328,2.985,3
2020/3/7,0.032,1.788,0.18,1.9861,2
2020/3/12,0.016,0.866,0.117,0.9993,1
2020/3/16,0.065,0.886,0.049,-0.8125,1
2020/3/17,0.187,1.675,0.138,-1.9767,2
2020/3/18,0.355,4.291,0.355,-0.2987,5
2020/3/19,0.094,1.816,0.09,0.0585,2
2020/3/20,0.128,1.687,0.185,1.5178,2
2020/3/22,0.07,0.822,0.108,0.9896,1
2020/3/23,0.063,0.871,0.066,0.8654,1
2020/3/24,0.082,1.791,0.127,1.668,2
2020/3/28,0.127,2.654,0.22,2.753,3
2020/3/30,0.07,1.806,0.124,1.9627,2
2020/4/2,0.072,0.868,0.061,-0.8399,1
2020/4/3,0.097,1.757,0.146,1.5078,2
2020/4/4,0.051,0.812,0.136,0.999,1
2020/4/5,0.104,1.708,0.188,0.0327,2
2020/4/6,0.026,0.892,0.082,0.9847,1
2020/4/8,0.055,0.902,0.043,0.0258,1
2020/4/9,0.224,2.64,0.134,-2.7113,3
2020/4/10,0.084,1.749,0.167,1.9877,2
2020/4/14,0.285,3.413,0.303,0.4454,4
2020/4/17,0.159,2.56,0.282,2.8341,3
2020/4/20,0.048,0.836,0.116,0.9975,1
2020/4/22,0.037,0.912,0.05,0.0118,1
2020/4/24,0.104,1.777,0.12,0.0416,2
2020/4/25,0.101,1.706,0.193,1.9906,2
2020/4/26,0.104,0.866,0.03,-0.9902,1
2020/4/28,0.183,2.548,0.27,0.9894,3
2020/4/29,0.073,0.902,0.025,-0.993,1
